region,date,recent_cases
Ang Mo Kio,2019-04-16,4
Ang Mo Kio,2019-04-23,10
Ang Mo Kio,2019-04-29,6
Ang Mo Kio,2019-05-06,7
Ang Mo Kio,2019-05-13,21
Ang Mo Kio,2019-05-22,18
Ang Mo Kio,2019-05-27,32
Ang Mo Kio,2019-06-03,50
Ang Mo Kio,2019-06-10,52
Ang Mo Kio,2019-06-19,50
Ang Mo Kio,2019-06-26,52
Ang Mo Kio,2019-07-02,41
Ang Mo Kio,2019-07-08,50
Ang Mo Kio,2019-07-16,79
Ang Mo Kio,2019-07-26,78
Ang Mo Kio,2019-08-08,95
Ang Mo Kio,2019-08-16,84
Ang Mo Kio,2019-08-23,65
Ang Mo Kio,2019-08-30,90
Ang Mo Kio,2019-09-06,65
Ang Mo Kio,2019-09-13,48
Ang Mo Kio,2019-09-20,36
Ang Mo Kio,2019-09-27,27
Ang Mo Kio,2019-10-04,16
Ang Mo Kio,2019-10-11,25
Ang Mo Kio,2019-10-18,21
Ang Mo Kio,2019-10-25,21
Ang Mo Kio,2019-11-01,29
Ang Mo Kio,2019-11-08,46
Ang Mo Kio,2019-11-15,43
Ang Mo Kio,2019-11-22,53
Ang Mo Kio,2019-11-29,49
Ang Mo Kio,2019-12-06,34
Ang Mo Kio,2019-12-13,28
Ang Mo Kio,2019-12-20,28
Ang Mo Kio,2019-12-27,26
Ang Mo Kio,2020-01-03,13
Ang Mo Kio,2020-01-10,39
Ang Mo Kio,2020-01-17,41
Ang Mo Kio,2020-01-24,57
Ang Mo Kio,2020-01-31,57
Ang Mo Kio,2020-02-07,72
Ang Mo Kio,2020-02-14,71
Ang Mo Kio,2020-02-21,60
Ang Mo Kio,2020-02-28,60
Ang Mo Kio,2020-03-06,38
Ang Mo Kio,2020-03-13,35
Ang Mo Kio,2020-03-20,25
Ang Mo Kio,2020-03-27,29
Ang Mo Kio,2020-04-03,29
Ang Mo Kio,2020-04-09,44
Ang Mo Kio,2020-04-17,36
Ang Mo Kio,2020-04-24,48
Ang Mo Kio,2020-04-30,68
Ang Mo Kio,2020-05-08,59
Ang Mo Kio,2020-05-15,67
Ang Mo Kio,2020-05-22,81
Ang Mo Kio,2020-05-29,100
Ang Mo Kio,2020-06-05,125
Ang Mo Kio,2020-07-03,182
Ang Mo Kio,2020-08-07,247
Ang Mo Kio,2020-09-18,63
Ang Mo Kio,2020-11-06,22
Botanic Garden,2013-05-23,-1
Botanic Garden,2013-05-27,-1
Botanic Garden,2013-06-17,-2
Botanic Garden,2013-06-24,-2
Botanic Garden,2013-07-04,-3
Botanic Garden,2013-07-08,-1
Botanic Garden,2013-07-18,-1
Botanic Garden,2013-08-30,-1
Botanic Garden,2013-09-06,-2
Botanic Garden,2013-10-30,-2
Botanic Garden,2013-11-04,-2
Botanic Garden,2013-11-11,-2
Botanic Garden,2013-11-18,-2
Botanic Garden,2013-11-25,4
Botanic Garden,2013-12-16,2
Botanic Garden,2013-12-31,2
Botanic Garden,2014-01-06,1
Botanic Garden,2014-01-10,5
Botanic Garden,2014-01-17,3
Botanic Garden,2014-02-04,10
Botanic Garden,2014-02-14,4
Botanic Garden,2014-05-02,40
Botanic Garden,2014-05-12,22
Botanic Garden,2014-06-03,7
Botanic Garden,2014-07-01,4
Botanic Garden,2014-07-21,6
Botanic Garden,2014-07-25,3
Botanic Garden,2015-01-26,1
Botanic Garden,2015-07-03,2
Botanic Garden,2015-08-14,2
Botanic Garden,2015-08-17,2
Botanic Garden,2015-08-21,2
Botanic Garden,2015-08-25,1
Botanic Garden,2015-08-31,2
Botanic Garden,2015-09-04,2
Botanic Garden,2015-09-07,1
Botanic Garden,2015-10-09,1
Botanic Garden,2015-10-12,3
Botanic Garden,2015-10-19,1
Botanic Garden,2015-11-09,1
Botanic Garden,2016-01-26,3
Botanic Garden,2016-02-01,2
Botanic Garden,2016-02-10,1
Botanic Garden,2016-03-14,3
Botanic Garden,2016-03-22,7
Botanic Garden,2016-03-29,4
Botanic Garden,2016-07-18,2
Botanic Garden,2016-07-26,1
Botanic Garden,2016-09-13,1
Botanic Garden,2017-05-29,1
Botanic Garden,2018-05-21,2
Botanic Garden,2018-09-25,1
Botanic Garden,2018-11-26,1
Botanic Garden,2019-01-29,3
Botanic Garden,2019-06-19,2
Botanic Garden,2019-06-26,2
Botanic Garden,2019-07-08,2
Botanic Garden,2019-07-26,6
Botanic Garden,2019-08-08,4
Botanic Garden,2019-08-16,9
Botanic Garden,2019-08-23,14
Botanic Garden,2019-08-30,9
Botanic Garden,2019-09-06,16
Botanic Garden,2019-09-13,12
Botanic Garden,2019-09-20,4
Botanic Garden,2019-09-27,2
Botanic Garden,2019-10-04,2
Botanic Garden,2019-10-11,4
Botanic Garden,2019-11-01,3
Botanic Garden,2019-11-15,2
Botanic Garden,2020-03-27,6
Botanic Garden,2020-04-03,4
Botanic Garden,2020-05-08,2
Botanic Garden,2020-07-03,21
Botanic Garden,2020-08-07,35
Botanic Garden,2020-09-18,12
Buangkok,2013-05-23,-6
Buangkok,2013-05-27,-6
Buangkok,2013-06-11,-9
Buangkok,2013-06-17,-5
Buangkok,2013-06-24,-3
Buangkok,2013-07-04,-2
Buangkok,2013-07-08,-2
Buangkok,2013-07-18,-9
Buangkok,2013-07-26,-6
Buangkok,2013-08-07,-9
Buangkok,2013-08-13,-7
Buangkok,2013-08-21,-5
Buangkok,2013-08-30,-6
Buangkok,2013-09-06,-6
Buangkok,2013-09-13,-7
Buangkok,2013-10-30,-9
Buangkok,2013-11-04,-8
Buangkok,2013-11-11,-5
Buangkok,2013-11-18,-5
Buangkok,2013-11-25,21
Buangkok,2013-12-02,15
Buangkok,2013-12-09,6
Buangkok,2013-12-24,17
Buangkok,2013-12-31,16
Buangkok,2014-01-06,15
Buangkok,2014-01-10,30
Buangkok,2014-01-17,29
Buangkok,2014-02-04,19
Buangkok,2014-02-14,21
Buangkok,2014-03-04,12
Buangkok,2014-03-14,40
Buangkok,2014-04-04,71
Buangkok,2014-04-14,46
Buangkok,2014-05-02,46
Buangkok,2014-05-12,14
Buangkok,2014-06-03,103
Buangkok,2014-06-13,161
Buangkok,2014-07-01,125
Buangkok,2014-07-14,105
Buangkok,2014-07-21,34
Buangkok,2014-07-25,54
Buangkok,2014-07-29,41
Buangkok,2014-08-01,36
Buangkok,2014-08-05,35
Buangkok,2014-08-08,35
Buangkok,2014-08-12,41
Buangkok,2014-08-15,26
Buangkok,2014-09-22,12
Buangkok,2014-09-26,16
Buangkok,2014-09-29,18
Buangkok,2014-10-03,15
Buangkok,2014-10-07,9
Buangkok,2014-10-10,13
Buangkok,2014-10-13,16
Buangkok,2014-10-17,5
Buangkok,2014-11-28,3
Buangkok,2014-12-01,2
Buangkok,2014-12-05,4
Buangkok,2014-12-09,8
Buangkok,2014-12-12,8
Buangkok,2014-12-15,3
Buangkok,2014-12-19,8
Buangkok,2014-12-22,6
Buangkok,2014-12-26,4
Buangkok,2014-12-30,7
Buangkok,2015-01-02,6
Buangkok,2015-01-07,13
Buangkok,2015-01-09,13
Buangkok,2015-01-12,18
Buangkok,2015-01-19,21
Buangkok,2015-01-26,7
Buangkok,2015-02-02,8
Buangkok,2015-02-09,6
Buangkok,2015-02-16,3
Buangkok,2015-02-23,6
Buangkok,2015-02-27,14
Buangkok,2015-03-02,19
Buangkok,2015-03-06,7
Buangkok,2015-03-09,4
Buangkok,2015-03-16,5
Buangkok,2015-03-23,2
Buangkok,2015-03-27,2
Buangkok,2015-03-30,2
Buangkok,2015-04-02,3
Buangkok,2015-04-06,2
Buangkok,2015-04-10,4
Buangkok,2015-04-13,2
Buangkok,2015-07-03,6
Buangkok,2015-07-16,5
Buangkok,2015-08-06,4
Buangkok,2015-08-11,1
Buangkok,2015-08-14,9
Buangkok,2015-08-17,8
Buangkok,2015-08-21,8
Buangkok,2015-08-25,5
Buangkok,2015-08-28,3
Buangkok,2015-08-31,5
Buangkok,2015-09-04,26
Buangkok,2015-09-07,26
Buangkok,2015-09-10,28
Buangkok,2015-09-14,20
Buangkok,2015-09-18,17
Buangkok,2015-09-22,15
